rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
0,4921,1,00:37:45,67978,20,20,26,lob,0.0,1,1.0,9,0.5878048780487803,1.5966666666666665,,,7,233.9,396.65,8,213.0,702.15,0,0,4920,6
1,4921,2,00:23:24,42147,16,10,3,defensive shot,0.0,0,2.0,7,-0.1048780487804877,-0.3313020833333334,,,8,186.3,664.18,8,182.8,316.01,0,0,4920,6
2,4921,3,00:28:52,51963,17,14,26,drive,0.0,0,1.0,8,-0.1036585365853658,1.041875,,,8,154.3,234.41,8,175.1,727.81,0,0,4920,6
3,4921,4,00:07:00,12602,1,0,3,push/rush,0.0,0,1.0,4,0.926829268292683,-1.5770833333333334,,,8,155.1,620.19,8,176.5,267.45,0,0,4920,6
4,4921,5,00:53:45,96768,11,4,26,smash,0.0,1,2.0,8,0.0585365853658537,-0.8126041666666666,,,8,193.1,648.8,2,254.4,367.71,0,0,4920,6
5,4921,6,00:36:29,65686,8,3,3,lob,0.0,0,2.0,10,1.1780487804878053,1.81015625,out,3.0,2,252.5,412.97,8,207.5,616.35,0,0,4920,6
6,4922,1,00:56:03,100896,19,21,34,clear,1.0,0,1.0,3,-1.0219512195121951,-1.4742708333333334,,,9,120.6,767.36,8,184.6,302.01,0,0,4921,2
7,4922,2,00:40:49,73471,9,5,1,drive,0.0,1,2.0,10,0.6524390243902439,1.8259375,out,34,8,132.3,299.72,8,115.3,666.64,0,0,4921,2
8,4923,1,01:06:02,118879,9,5,19,net shot,0.0,1,2.0,7,0.8195121951219511,0.2569791666666668,,,7,248.3,402.19,8,223.7,609.38,0,0,4922,2
9,4923,2,00:27:10,48912,18,18,29,drop,1.0,0,2.0,1,-1.2097560975609756,-0.1213541666666667,not pass over the net,19,8,232.4,228.72,8,202.6,677.02,0,0,4922,6
